MY_TARGET_ITEM_NAME,itemname_api,kindname_api,countyname_api,marketname_api,date,price_api,unit_api,REQUESTED_KINDNAME,REQ_ITEMCATCODE,REQ_ITEMCODE,REQ_KINDCODE,REQ_RANKCODE,REQ_COUNTRYCODE
배추,배추,월동(1포기),서울,경동,2025-01-02,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,복조리,2025-01-02,5880,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,B-유통,2025-01-02,5600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,B`-유통,2025-01-02,5830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,I-유통,2025-01-02,4980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,부전,2025-01-02,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,D-유통,2025-01-02,5990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,H-유통,2025-01-02,4600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,칠성,2025-01-02,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),인천,현대,2025-01-02,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),인천,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,양동,2025-01-02,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,역전,2025-01-02,4770,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),울산,신정,2025-01-02,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),울산,B-유통,2025-01-02,6980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),세종,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),수원,지동,2025-01-02,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),수원,B-유통,2025-01-02,5830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),성남,B-유통,2025-01-02,5320,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),고양,B-유통,2025-01-02,5630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),용인,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),춘천,중앙,2025-01-02,5770,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),강릉,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),청주,육거리,2025-01-02,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),청주,B-유통,2025-01-02,5300,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),천안,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),전주,남부,2025-01-02,4770,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),전주,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),순천,역전,2025-01-02,5110,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),순천,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),포항,죽도,2025-01-02,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),포항,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),안동,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),창원,상남,2025-01-02,5700,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),창원,C-유통,2025-01-02,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),김해,A-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),제주,동문,2025-01-02,6660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),제주,E-유통,2025-01-02,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,경동,2025-01-03,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,복조리,2025-01-03,6550,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,A-유통,2025-01-03,3990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,B-유통,2025-01-03,5600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,B`-유통,2025-01-03,6500,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,C-유통,2025-01-03,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,E-유통,2025-01-03,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),서울,I-유통,2025-01-03,4980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,부전,2025-01-03,5330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,A-유통,2025-01-03,3990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,D-유통,2025-01-03,6990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),부산,H-유통,2025-01-03,4600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,칠성,2025-01-03,6830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,A-유통,2025-01-03,3990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대구,E-유통,2025-01-03,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),인천,현대,2025-01-03,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),인천,E-유통,2025-01-03,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,양동,2025-01-03,5500,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,A-유통,2025-01-03,3990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),광주,E-유통,2025-01-03,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,역전,2025-01-03,4770,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,A-유통,2025-01-03,3990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),대전,E-유통,2025-01-03,4990,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),울산,신정,2025-01-03,4830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),울산,B-유통,2025-01-03,6980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),세종,C-유통,2025-01-03,3980,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),수원,지동,2025-01-03,5000,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),수원,B-유통,2025-01-03,5830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),성남,B-유통,2025-01-03,4830,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),고양,B-유통,2025-01-03,6300,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1포기),용인,C-유통,2025-01-03,3980,1kg,월동배추,200,211,06,04,1101
